cusno,billed,last_sale,orders,received,last_recv,outstanding,days_since_last_sale,cusnm,area,settle
CUS_00024,5400.0,2021-12-06,1,0.0,,5400.0,1587,[已隱蔽],,31.0
CUS_00175,5400.0,2020-12-29,1,0.0,,5400.0,1929,[已隱蔽],,31.0
CUS_00427,5400.0,2022-11-29,2,0.0,,5400.0,1229,[已隱蔽],,31.0
CUS_00384,5399.0,2021-10-24,2,0.0,,5399.0,1630,[已隱蔽],,31.0
CUS_00057,5350.0,2024-07-30,2,0.0,,5350.0,620,[已隱蔽],,31.0
CUS_00363,5300.0,2024-08-31,1,0.0,,5300.0,588,[已隱蔽],,31.0
CUS_00259,5250.0,2021-12-16,1,0.0,,5250.0,1577,[已隱蔽],,31.0
CUS_00579,5200.0,2021-11-05,1,0.0,,5200.0,1618,[已隱蔽],,31.0
CUS_00417,5100.0,2023-05-29,1,0.0,,5100.0,1048,[已隱蔽],,31.0
CUS_00244,5000.0,2022-12-26,1,0.0,,5000.0,1202,[已隱蔽],,31.0
CUS_00208,5000.0,2022-03-23,1,0.0,,5000.0,1480,[已隱蔽],,31.0
CUS_00575,5000.0,2024-04-29,2,0.0,,5000.0,712,[已隱蔽],,31.0
CUS_00176,5000.0,2023-02-04,1,0.0,,5000.0,1162,[已隱蔽],,31.0
CUS_00657,5000.0,2021-07-31,1,0.0,,5000.0,1715,[已隱蔽],,31.0
CUS_00036,5000.0,2022-01-05,1,0.0,,5000.0,1557,[已隱蔽],,31.0
CUS_00245,4990.0,2025-01-16,1,0.0,,4990.0,450,[已隱蔽],,31.0
CUS_00546,4990.0,2025-01-09,1,0.0,,4990.0,457,[已隱蔽],,31.0
CUS_00230,4850.0,2021-02-06,1,0.0,,4850.0,1890,[已隱蔽],,31.0
CUS_00202,4850.0,2020-11-30,1,0.0,,4850.0,1958,[已隱蔽],,31.0
CUS_00136,4800.0,2020-11-21,1,0.0,,4800.0,1967,[已隱蔽],,31.0
CUS_00421,4700.0,2024-07-09,1,0.0,,4700.0,641,[已隱蔽],,31.0
CUS_00527,4700.0,2023-11-16,1,0.0,,4700.0,877,[已隱蔽],,31.0
CUS_00223,4600.0,2022-12-14,2,0.0,,4600.0,1214,[已隱蔽],,31.0
CUS_00304,4600.0,2022-09-16,1,0.0,,4600.0,1303,[已隱蔽],,31.0
CUS_00435,4565.0,2024-02-04,1,0.0,,4565.0,797,[已隱蔽],,31.0
CUS_00263,4500.0,2022-02-15,1,0.0,,4500.0,1516,[已隱蔽],,31.0
CUS_00063,4500.0,2023-11-28,1,0.0,,4500.0,865,[已隱蔽],,31.0
CUS_00203,4500.0,2023-04-12,1,0.0,,4500.0,1095,[已隱蔽],,31.0
CUS_00131,4500.0,2022-12-28,3,0.0,,4500.0,1200,[已隱蔽],,31.0
CUS_00425,4500.0,2022-11-28,1,0.0,,4500.0,1230,[已隱蔽],,31.0
CUS_00604,4455.0,2022-01-21,1,0.0,,4455.0,1541,[已隱蔽],,31.0
CUS_00646,4400.0,2022-08-03,3,0.0,,4400.0,1347,,,
CUS_00138,4400.0,2024-01-18,2,0.0,,4400.0,814,[已隱蔽],,31.0
CUS_00288,4350.0,2022-07-12,1,0.0,,4350.0,1369,[已隱蔽],,31.0
CUS_00714,4300.0,2021-01-07,1,0.0,,4300.0,1920,[已隱蔽],,31.0
CUS_00677,4300.0,2021-05-29,1,0.0,,4300.0,1778,[已隱蔽],,31.0
CUS_00271,4300.0,2021-08-10,1,0.0,,4300.0,1705,[已隱蔽],,31.0
CUS_00316,4290.0,2022-03-07,1,0.0,,4290.0,1496,[已隱蔽],,31.0
CUS_00056,4262.0,2021-09-09,1,0.0,,4262.0,1675,[已隱蔽],,31.0
CUS_00075,4250.0,2022-01-03,1,0.0,,4250.0,1559,[已隱蔽],,31.0
CUS_00011,4250.0,2021-01-25,1,0.0,,4250.0,1902,[已隱蔽],,31.0
CUS_00293,4200.0,2024-01-06,1,0.0,,4200.0,826,[已隱蔽],,31.0
CUS_00626,4200.0,2021-10-18,1,0.0,,4200.0,1636,[已隱蔽],,31.0
